,ds,y
0,1992-01-01,146376.0
1,1992-02-01,147079.0
2,1992-03-01,159336.0
3,1992-04-01,163669.0
4,1992-05-01,170068.0
5,1992-06-01,168663.0
6,1992-07-01,169890.0
7,1992-08-01,170364.0
8,1992-09-01,164617.0
9,1992-10-01,173655.0
10,,
11,1992-12-01,208838.0
12,1993-01-01,153221.0
13,1993-02-01,150087.0
14,1993-03-01,170439.0
15,1993-04-01,176456.0
16,1993-05-01,182231.0
17,1993-06-01,181535.0
18,1993-07-01,183682.0
19,1993-08-01,183318.0
20,1993-09-01,177406.0
21,1993-10-01,182737.0
22,1993-11-01,187443.0
23,1993-12-01,224540.0
24,1994-01-01,161349.0
25,,
26,,
27,,
28,1994-05-01,194927.0
29,1994-06-01,197946.0
30,1994-07-01,193355.0
31,1994-08-01,202388.0
32,1994-09-01,193954.0
33,1994-10-01,197956.0
34,1994-11-01,202520.0
35,1994-12-01,241111.0
36,1995-01-01,175344.0
37,1995-02-01,172138.0
38,1995-03-01,201279.0
39,1995-04-01,196039.0
40,,
41,,
42,,
43,,
44,,
45,1995-10-01,204044.0
46,1995-11-01,212190.0
47,1995-12-01,247491.0
48,1996-01-01,185019.0
49,1996-02-01,192380.0
50,1996-03-01,212110.0
51,1996-04-01,211718.0
52,1996-05-01,226936.0
53,1996-06-01,217511.0
54,1996-07-01,218111.0
55,1996-08-01,226062.0
56,1996-09-01,209250.0
57,1996-10-01,222663.0
58,1996-11-01,223953.0
59,1996-12-01,258081.0
60,1997-01-01,200389.0
61,1997-02-01,197556.0
62,1997-03-01,225133.0
63,1997-04-01,220329.0
64,1997-05-01,234190.0
65,1997-06-01,227365.0
66,1997-07-01,231521.0
67,1997-08-01,235252.0
68,1997-09-01,222807.0
69,1997-10-01,232251.0
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,1999-11-01,264106.0
95,1999-12-01,317659.0
96,2000-01-01,236422.0
97,2000-02-01,250580.0
98,2000-03-01,279515.0
99,2000-04-01,264417.0
100,2000-05-01,283706.0
101,2000-06-01,281288.0
102,2000-07-01,271146.0
103,2000-08-01,283944.0
104,2000-09-01,269155.0
105,2000-10-01,270899.0
106,2000-11-01,276507.0
107,2000-12-01,319958.0
108,2001-01-01,250746.0
109,2001-02-01,247772.0
110,2001-03-01,280449.0
111,2001-04-01,274925.0
112,2001-05-01,296013.0
113,2001-06-01,287881.0
114,2001-07-01,279098.0
115,2001-08-01,294763.0
116,2001-09-01,261924.0
117,2001-10-01,291596.0
118,2001-11-01,287537.0
119,2001-12-01,326202.0
120,2002-01-01,255598.0
121,2002-02-01,253086.0
122,2002-03-01,285261.0
123,2002-04-01,284747.0
124,2002-05-01,300402.0
125,2002-06-01,288854.0
126,2002-07-01,295433.0
127,2002-08-01,307256.0
128,2002-09-01,273189.0
129,2002-10-01,287540.0
130,2002-11-01,290705.0
131,2002-12-01,337006.0
132,2003-01-01,268328.0
133,2003-02-01,259051.0
134,2003-03-01,293693.0
135,2003-04-01,294251.0
136,2003-05-01,312389.0
137,2003-06-01,300998.0
138,2003-07-01,309923.0
139,2003-08-01,317056.0
140,2003-09-01,293890.0
141,2003-10-01,304036.0
142,2003-11-01,301265.0
143,2003-12-01,357577.0
144,2004-01-01,281460.0
145,2004-02-01,282444.0
146,2004-03-01,319077.0
147,2004-04-01,315191.0
148,2004-05-01,328408.0
149,2004-06-01,321044.0
150,2004-07-01,328000.0
151,2004-08-01,326317.0
152,2004-09-01,313524.0
153,2004-10-01,319726.0
154,2004-11-01,324259.0
155,2004-12-01,387155.0
156,2005-01-01,293261.0
157,2005-02-01,295062.0
158,2005-03-01,339141.0
159,2005-04-01,335632.0
160,2005-05-01,345348.0
161,2005-06-01,350945.0
162,2005-07-01,351827.0
163,2005-08-01,355701.0
164,2005-09-01,333289.0
165,2005-10-01,336134.0
166,2005-11-01,343798.0
167,2005-12-01,405608.0
168,2006-01-01,318546.0
169,2006-02-01,314051.0
170,2006-03-01,361993.0
171,2006-04-01,351667.0
172,2006-05-01,373560.0
173,2006-06-01,366615.0
